id	name	province	district	division	location	sub_location	level	agency	latitude	longitude	email	emergency_number_one	emergency_number_two
1078	KYUSO HEALTH CENTRE	EASTERN	MWINGI	KYUSO	KYUSO	GAI	3	MISS	-0.569391	38.2176	ekyusohealthcentre@healthcare.com	0765314474	0765257412
1079	GOBEI DISP	NYANZA	BONDO	BONDO	BONDO TOWNSHIP	NYAWITA(BONDO)	4	MOH	-0.09021	34.2905	ngobeidisp@healthcare.com	0740571534	0798773154
1080	NGILUNI DISP	EASTERN	MAKUENI	MTITO ANDEI	MTITO-ANDEI	KATHEKANI	4	MOH	-2.66435	38.29079	engilunidisp@healthcare.com	0774526448	0758036580
1081	KAARE PCEA DISP	EASTERN	SOUTH MERU	MWIMBI	KIERA	MAGUTUNI	4	MISS	-0.19	37.77	ekaarepceadisp@healthcare.com	0746127848	0745989047
1082	KYUSO SUB-DISTRICT HOSP	EASTERN	MWINGI	KYUSO	KIMANGAO	KIMANGAO	1	MOH	-0.53231	38.16232	ekyusosub-districthosp@healthcare.com	0748211719	0724165180
1083	KAJIAMPAU DISP	EASTERN	SOUTH MERU	IGAMBANG'OMBE	MUTINO	MUTINO	4	MISS	-0.311828	37.8508	ekajiampaudisp@healthcare.com	0745911691	0705263159
1084	NGWATA SUB HEALTH CENTRE	EASTERN	MAKUENI	MTITO ANDEI	NGWATA	MUKANGE	3	MOH	-2.52758	38.04904	engwatasubhealthcentre@healthcare.com	0705487372	0794793212
1085	GOT AGULU HEALTH CENTRE	NYANZA	BONDO	USIGU	WEST YIMBO	GOT AGULU	3	MOH	-0.0341	34.0248	ngotaguluhealthcentre@healthcare.com	0740797395	0751941323
1086	MASYUNGWA DISP	EASTERN	MWINGI	TSEIKURU	MUSYUNGWA	KATHIANI(MWINGI)	4	MOH	-0.379401	38.3313	emasyungwadisp@healthcare.com	0771894184	0735814503
1087	KAMBANDI DISP	EASTERN	SOUTH MERU	CHUKA	MUIRU	MUIRU	4	MISS	-0.352703	37.668919	ekambandidisp@healthcare.com	0709401762	0743577438
1088	NTHONGONI DISP	EASTERN	MAKUENI	MTITO ANDEI	NTHONGONI	MANGELETE	4	MOH	-2.70281	38.04729	enthongonidisp@healthcare.com	0776496403	0758929211
1089	GOT MATAR DISP	NYANZA	BONDO	USIGU	NORTH YIMBO	NYAMONYE	4	MOH	-0.0309	34.1315	ngotmatardisp@healthcare.com	0719359990	0718542686
1090	KANJUKI HEALTH CENTRE	EASTERN	SOUTH MERU	IGAMBANG'OMBE	KAJUKI	KAJUKI	3	MOH	-0.34231	37.83232	ekanjukihealthcentre@healthcare.com	0747297888	0799398683
1091	MIGWANI SUB-DISTRICT HOSP	EASTERN	MWINGI	MIGWANI	MIGWANI	KALILUNI(MWINGI)	1	MOH	-1.08919	38.0062	emigwanisub-districthosp@healthcare.com	0748721627	0751553168
1092	NUNGUNI SDH	EASTERN	MAKUENI	KILUNGU	KITHEMBE	NDUU(MAKUENI)	1	MOH	-1.78343	37.35991	enungunisdh@healthcare.com	0748476112	0778248437
1093	NZEENI LIONS DISP	EASTERN	MAKUENI	MBITINI	KYEMUNDU	MBELETU	4	NGO	-1.97433	37.4947	enzeenilionsdisp@healthcare.com	0798700121	0735371904
1094	KAGWA DISP	NYANZA	BONDO	MADIANY	WEST UYOMA	KAGWA(BONDO)	4	MOH	-0.22851	34.25665	nkagwadisp@healthcare.com	0796778821	0766020890
1095	MIVUKONI DISP	EASTERN	MWINGI	KYUSO	MIVUKONI	KATUKA	4	MOH	-0.407504	38.2154	emivukonidisp@healthcare.com	0771830580	0714443295
1096	KARIAKOMO MISSION DISP	EASTERN	SOUTH MERU	MWIMBI	GANGA	KIRUMI	4	MISS	-0.24	37.68	ekariakomomissiondisp@healthcare.com	0762716265	0743413137
1097	KAGWA SDA HC	NYANZA	BONDO	MADIANY	WEST UYOMA	KAGWA(BONDO)	3	MISS	-0.22469	34.25637	nkagwasdahc@healthcare.com	0777217443	0789078928
1098	NZEVENI SUB HEALTH CENTRE	EASTERN	MAKUENI	MTITO ANDEI	NZAMBANI	MUTHINGIINI	3	MOH	-2.59171	37.99668	enzevenisubhealthcentre@healthcare.com	0788215330	0728151305
1099	KARIMBA DISP	EASTERN	SOUTH MERU	MUTHAMBI	MITHERU	KARIMBA	4	MISS	-0.298835	37.69	ekarimbadisp@healthcare.com	0703568698	0761958866
1100	MUI DISP	EASTERN	MWINGI	NUU	MUI	NGILUNI(MWINGI)	4	MOH	-1.11892	38.2066	emuidisp@healthcare.com	0727293875	0769458658
1101	NZIU SUB HEALTH CENTRE	EASTERN	MAKUENI	MATILIKU	KALAMBA	NZIU	3	MOH	-1.81368	37.53664	enziusubhealthcentre@healthcare.com	0788010720	0793880424
1102	KAPIYO DISP	NYANZA	BONDO	BONDO	S.W. SAKWA	UTONGA	4	MOH	-0.08601	34.17491	nkapiyodisp@healthcare.com	0763990129	0733989382
1103	KARONGONI CATHOLIC DISP	EASTERN	SOUTH MERU	CHUKA	KARINGANI	KARONGONI	4	MISS	-0.330064	37.699153	ekarongonicatholicdisp@healthcare.com	0766464782	0737427899
1104	MUUMONI DISP	EASTERN	MWINGI	MUUMONI	KAKUYU	IKONGO	4	MOH	-0.571593	37.9434	emuumonidisp@healthcare.com	0763981098	0747955782
1105	KIAIRUGU DISP	EASTERN	SOUTH MERU	MWIMBI	MAARA	THIGAA	4	MISS	-0.23	37.71	ekiairugudisp@healthcare.com	0752162203	0797914859
1106	MWINGI DISTRICT HOSPITAL	EASTERN	MWINGI	CENTRAL	MWINGI	KYANIKA(MWINGI)	1	MOH	-0.9334	38.0673	emwingidistricthospital@healthcare.com	0737596679	0767517947
1107	MADIANY HEALTH CENTRE	NYANZA	BONDO	MADIANY	EAST UYOMA	WEST KATWENG'A	3	MOH	-0.28134	34.3224	nmadianyhealthcentre@healthcare.com	0780512214	0735741358
1108	SALAMA  BAPTIST MEDICAL DISP	EASTERN	MAKUENI	KILOME	KIIMA-KIU	NGAAMBA	4	MISS	-1.85061	37.25772	esalamabaptistmedicaldisp@healthcare.com	0704645487	0716789038
1109	KIAMUCHAIRU DISP	EASTERN	SOUTH MERU	MWIMBI	CHOGORIA	KIRARO	4	MISS	-0.22	37.66	ekiamuchairudisp@healthcare.com	0729159174	0736199938
1110	NGOMENI DISP	EASTERN	MWINGI	NGOMENI	NGOMENI	IKIME	4	MOH	-0.643176	38.4302	engomenidisp@healthcare.com	0760790505	0723805434
1111	ST. MICHAELS DISP	EASTERN	MAKUENI	MATILIKU	NZAUI	MATILIKU	4	MISS	-1.94475	37.53555	est.michaelsdisp@healthcare.com	0765131108	0777557546
1112	MAGETA DISP	NYANZA	BONDO	USIGU	MAGETA ISLAND	MAHANGA(BONDO)	4	MOH	-0.1325	34.0103	nmagetadisp@healthcare.com	0714135395	0758601416
1113	KIAMURIUKI DISP	EASTERN	SOUTH MERU	MT. KENYA FOREST	MT. KENYA FOREST	MT. KENYA FOREST(S)	4	MISS	-0.36	37.59	ekiamuriukidisp@healthcare.com	0750258912	0779548444
1114	NGUNGANI DISP	EASTERN	MWINGI	MUUMONI	KAKUYU	MUSOSYA(MWINGI)	4	MOH	-0.593329	38.0364	engunganidisp@healthcare.com	0735006702	0713507058
1115	ST. MICHAELS DISP	EASTERN	MAKUENI	NGUU	NGUU	NTHUNGUI	4	MISS	-2.04195	37.64139	est.michaelsdisp@healthcare.com	0710617173	0798661999
1116	MAHAYA DISP	NYANZA	BONDO	RARIEDA	WEST  ASEMBO	MAHAYA	4	MOH	-0.16223	34.34066	nmahayadisp@healthcare.com	0795256618	0788662933
1117	SULEIMAN FARUK MEMORIAL MEDICAL CENTRE	EASTERN	MAKUENI	TSAVO WEST	TSAVO WEST	TSAVO WEST N. PARK	4	NGO	-2.69202	38.1663	esuleimanfarukmemorialmedicalcentre@healthcare.com	0724997931	0798036895
1118	NGUNI HEALTH CENTRE	EASTERN	MWINGI	NGUNI	NGUNI	MWASUMA	3	MOH	-0.80286	38.309	engunihealthcentre@healthcare.com	0752190781	0750535245
1119	MANGA BAPTIST CLINIC DISP	NYANZA	BONDO	MADIANY	SOUTH UYOMA	NDIGWA	4	MISS	-0.3353	34.3252	nmangabaptistclinicdisp@healthcare.com	0736084738	0785430759
1120	KIANGONDU DISP	EASTERN	SOUTH MERU	CHUKA	KIANG'ONDU	TOWNSHIP(MERU SOUTH)	4	MISS	-0.3181	37.6156	ekiangondudisp@healthcare.com	0700684660	0708252521
1121	MANYUANDA HEALTH CENTRE	NYANZA	BONDO	MADIANY	WEST UYOMA	KOKWIRI	3	MOH	-0.25252	34.27609	nmanyuandahealthcentre@healthcare.com	0731065776	0717484593
1122	SULTAN HAMUD HEALTH CENTRE	EASTERN	MAKUENI	KASIKEU	KIOU	SULTAN HAMUD(MAK)	3	MOH	-2.01401	37.38714	esultanhamudhealthcentre@healthcare.com	0702240712	0712514213
1123	NUU CATHOLIC DISP/ PHC UNIT	EASTERN	MWINGI	NUU	NUU	NGAANI(MWINGI)	4	MISS	-1.05615	38.3608	enuucatholicdisp/phcunit@healthcare.com	0766243423	0780020694
1124	KIBUGUA DISP	EASTERN	SOUTH MERU	MAGUMONI	THUITA	KATHATWA	4	MOH	-0.36982	37.62027	ekibuguadisp@healthcare.com	0736520172	0780599739
1125	SYUMILE DISP	EASTERN	MAKUENI	MAKINDU	NGUUMO	SYUMILE	4	MOH	-2.27925	37.92147	esyumiledisp@healthcare.com	0733408281	0797889037
1126	MASALA DISP	NYANZA	BONDO	MADIANY	CENTRAL UYOMA	MASALA	4	MOH	-0.20811	34.292727	nmasaladisp@healthcare.com	0776933805	0714903066
1127	NUU HEALTH CENTRE	EASTERN	MWINGI	NUU	NUU	NGAANI(MWINGI)	3	MOH	-1.06937	38.3641	enuuhealthcentre@healthcare.com	0740304935	0712211284
1128	KIENI DISP	EASTERN	SOUTH MERU	MWIMBI	MAARA	IRUMA	4	MISS	-0.22	37.7	ekienidisp@healthcare.com	0792683628	0733014874
1129	TAWA DEMONSTRATION H C	EASTERN	MAKUENI	KISAU	KITETA	KIAMBWA	3	MOH	-1.54532	37.46568	etawademonstrationhc@healthcare.com	0729694679	0703876902
1130	MISORI DISP	NYANZA	BONDO	MADIANY	WEST UYOMA	NYABERA(BONDO)	4	MOH	-0.31856	34.278	nmisoridisp@healthcare.com	0733512893	0706566402
1131	NYAANI DISP	EASTERN	MWINGI	NUU	MUITANGOMBE	MUANGENI	4	MOH	-1.149878	38.302053	enyaanidisp@healthcare.com	0712898569	0788748128
1132	KIERA WOMANS GUILD DISP	EASTERN	SOUTH MERU	MWIMBI	KIERA	MAGUTUNI	4	MISS	-0.23	37.77	ekierawomansguilddisp@healthcare.com	0776458319	0701042982
1133	TULIMANI DISP	EASTERN	MAKUENI	TULIMANI	TULIMANI	KALAWANI	4	MOH	-1.59196	37.4163	etulimanidisp@healthcare.com	0786177478	0768968017
1134	NAYA DISP	NYANZA	BONDO	MADIANY	SOUTH UYOMA	NAYA	4	MOH	-0.36255	34.3121	nnayadisp@healthcare.com	0755032013	0777090796
1135	NZAWA DISP	EASTERN	MWINGI	MIGWANI	NGUUTANI	NZAWA	4	MOH	-1.11452	37.8983	enzawadisp@healthcare.com	0719080963	0785589117
1136	NDORI DISP	NYANZA	BONDO	RARIEDA	CENTRAL ASEMBO	RAMBA NORTH	4	MISS	-0.06975	34.37752	nndoridisp@healthcare.com	0757229198	0708309468
1137	NZELUNI DISP	EASTERN	MWINGI	MIGWANI	MIGWANI	MUIVU	4	MOH	-1.11452	38.0315	enzelunidisp@healthcare.com	0710493602	0777813200
1138	UKIA DISP	EASTERN	MAKUENI	KAITI	OKIA	UTAATI	4	MOH	-1.75812	37.49809	eukiadisp@healthcare.com	0759112617	0764290247
1139	NYAGOKO DISP	NYANZA	BONDO	RARIEDA	SOUTH ASEMBO	NYAGOKO	4	MOH	-0.17535	34.29557	nnyagokodisp@healthcare.com	0753357701	0743630109
1140	TEI WA YESU PCEA HC	EASTERN	MWINGI	KYUSO	KYUSO	GAI	3	MISS	-0.607935	38.1956	eteiwayesupceahc@healthcare.com	0752828372	0719181859
1141	NYANGUNDA SELF HELP DISP	NYANZA	BONDO	BONDO	SOUTH SAKWA	NYAGUDA	4	NGO	-0.21243	34.21883	nnyangundaselfhelpdisp@healthcare.com	0706099741	0703554895
1142	THANA NZAU DISP	EASTERN	MWINGI	MIGWANI	THITANI	THAANA	4	MOH	-0.89232	37.86232	ethananzaudisp@healthcare.com	0761937052	0764113044
1143	THARAKA DISP	EASTERN	MWINGI	MUUMONI	THARAKA	GAKOMBE	4	MOH	-0.311694	38.0172	etharakadisp@healthcare.com	0756091430	0764287650
1144	ONGIELO DISP	NYANZA	BONDO	RARIEDA	EAST ASEMBO	OMIA MALO	4	MOH	-0.16875	34.377777	nongielodisp@healthcare.com	0700886225	0710454414
1145	THITHA DISP	EASTERN	MWINGI	CENTRAL	ENDUI	KATITIKA	4	MOH	-0.832594	38.2121	ethithadisp@healthcare.com	0766804485	0741073017
1146	SARADIDI HEALTH CENTRE	NYANZA	BONDO	RARIEDA	CENTRAL ASEMBO	MEMBA	3	MOH	-0.11288	34.39692	nsaradidihealthcentre@healthcare.com	0700106924	0774557165
1147	THITHANI DISP	EASTERN	MWINGI	MIGWANI	THITANI	KAVAINI	4	MISS	-1.04514	37.9291	ethithanidisp@healthcare.com	0709753112	0737742073
1148	ST. CAMILUS DISPENSARY	NYANZA	BONDO	MADIANY	SOUTH UYOMA	NAYA	4	MISS	-0.382719	34.284311	nst.camilusdispensary@healthcare.com	0762200555	0782969282
1149	TSEIKURU HEALTH CENTRE	EASTERN	MWINGI	TSEIKURU	TSEIKURU	NZIITU	3	MOH	-0.319403	38.2011	etseikuruhealthcentre@healthcare.com	0799254258	0771116599
1150	ST. ELIZABETH LWAK MISS. HOSPITAL	NYANZA	BONDO	RARIEDA	CENTRAL ASEMBO	MEMBA	1	MISS	-0.13782	34.35698	nst.elizabethlwakmiss.hospital@healthcare.com	0749419634	0750220737
1151	TYAA KAMUTHALE DISP	EASTERN	MWINGI	MUUMONI	KAKUYU	TYAA	4	MOH	-0.725749	37.9624	etyaakamuthaledisp@healthcare.com	0722180151	0713695116
1152	ST.ANNE NYANGOMA DISP AND MCH	NYANZA	BONDO	BONDO	CENTRAL SAKWA	NYANG'OMA	4	MISS	-0.15277	34.19813	nst.annenyangomadispandmch@healthcare.com	0797374313	0774419934
1153	UKASI DISP	EASTERN	MWINGI	NGUNI	UKASI	UKASI	4	MOH	-0.808366	38.5293	eukasidisp@healthcare.com	0706249658	0775185088
1154	ULUNGO DISP	NYANZA	BONDO	USIGU	NORTH YIMBO	BAR KANYANGO	4	MOH	0.01815	34.10807	nulungodisp@healthcare.com	0756667267	0704758713
1155	USUENI DISP	EASTERN	MWINGI	TSEIKURU	MUSAVANI	USUENI	4	MOH	-0.137693	38.2176	eusuenidisp@healthcare.com	0714337095	0742171960
1156	USIGU DISP	NYANZA	BONDO	USIGU	CENTRAL YIMBO	USIGU	4	MOH	-0.0568	34.0994	nusigudisp@healthcare.com	0742835827	0740539601
1157	WAITA DISP	EASTERN	MWINGI	CENTRAL	WAITA	WAITA	4	MOH	-0.783305	38.1379	ewaitadisp@healthcare.com	0724413320	0796511527
1158	UYAWI DISP	NYANZA	BONDO	BONDO	CENTRAL SAKWA	UYAWI	4	MOH	-0.16139	34.16597	nuyawidisp@healthcare.com	0718237697	0774786421
1159	WINGEMI DSIPENSARY	EASTERN	MWINGI	NUU	WINGEMI	MALAWA	4	MOH	-1.05285	38.5073	ewingemidsipensary@healthcare.com	0736031675	0770198391
1160	BOIGE DISP	NYANZA	GUCHA	NYAMARAMBE	NYAKEMBENE	NYAKORERE	4	MOH	-0.83089	34.66809	nboigedisp@healthcare.com	0787843715	0743459572
1161	WINZIEI DISP	EASTERN	MWINGI	MIGWANI	THITANI	WINZYIEEI	4	MOH	-0.946025	37.9291	ewinzieidisp@healthcare.com	0785999946	0708613045
1162	CHIENGU SDA DISP	NYANZA	GUCHA	NYACHEKI	RIGENA	NYANTIRA	4	MISS	-0.88272	34.81434	nchiengusdadisp@healthcare.com	0797598630	0750665132
1163	AKACHIU H C (KANUNI H C)	EASTERN	NORTH MERU	IGEMBE S/WEST	AKACHIU	AUKI	3	MOH	0.20324	37.90234	eakachiuhc(kanunihc)@healthcare.com	0704620983	0779109516
1164	EBEREGE DISP	NYANZA	GUCHA	KENYENYA	MAGENCHE	MOKUBO	4	MOH	-0.9121	34.72132	neberegedisp@healthcare.com	0720191892	0723229088
1165	UPETE DISP	EASTERN	MAKUENI	KILOME	KITAINGO	KITAINGO	4	MOH	-1.85439	37.34901	eupetedisp@healthcare.com	0766533695	0709612363
1166	ETAGO DISP	NYANZA	GUCHA	ETAGO	GETENGA	NYARAMBA(GUCHA)	4	MOH	-0.902367	34.6593	netagodisp@healthcare.com	0772671033	0787124387
1167	AMATU DISP	EASTERN	NORTH MERU	TIGANIA WEST	KIANJAI	KIANJAI	4	MISS	0.157514	37.749496	eamatudisp@healthcare.com	0798949597	0786797346
1168	AMUGAA DISP	EASTERN	NORTH MERU	TIGANIA EAST	ANKAMIA	AMUGAA	4	MOH	0.163418	37.889069	eamugaadisp@healthcare.com	0765068466	0731320761
1169	GESABAKWA DISP	NYANZA	GUCHA	NYACHEKI	BASSI BOGETAORIO	NYANGUSO	4	MOH	-0.89926	34.82809	ngesabakwadisp@healthcare.com	0787477616	0707897408
1170	AMUNGENTI DISP	EASTERN	NORTH MERU	IGEMBE SOUTH	KABULINE	AMUNG'ENTI	4	MISS	0.174839	37.991665	eamungentidisp@healthcare.com	0743649197	0729820314
1171	KENYENYA HC	NYANZA	GUCHA	KENYENYA	MAJOGE MASABA	KENYENYA	3	MOH	-0.886333	34.7289	nkenyenyahc@healthcare.com	0743593511	0719380200
1172	ANGILI DISP	EASTERN	NORTH MERU	TIGANIA NORTH	KARAMA	URRU	4	MISS	0.229768	37.807005	eangilidisp@healthcare.com	0788885484	0773402352
1173	KENYENYA SDA DISP	NYANZA	GUCHA	OGEMBO	SENGERA	BOSOTI	4	MISS	-0.88964	34.725225	nkenyenyasdadisp@healthcare.com	0766284402	0702674249
1174	ANTUBETWE NJOUNE DISP	EASTERN	NORTH MERU	IGEMBE EAST	KIENGU	ANTUBETWE NJOUNE	4	MISS	0.266706	37.952832	eantubetwenjounedisp@healthcare.com	0712000498	0732698720
1175	WATHINI ACK HC	EASTERN	MAKUENI	KASIKEU	KASIKEU	UVALENI	3	MISS	-1.88054	37.35324	ewathiniackhc@healthcare.com	0786940766	0777577827
1176	KENYERERE  DISP	NYANZA	GUCHA	SAMETA	MOKWERERO	KENYERERE	4	MOH	-0.782267	34.7811	nkenyereredisp@healthcare.com	0777884874	0742737846
1177	ATHIRU GAITI DISP (KIRAONE DISP)	EASTERN	NORTH MERU	IGEMBE S/EAST	KIRIMAMPIO	BWETHAA	4	MISS	0.22	37.97	eathirugaitidisp(kiraonedisp)@healthcare.com	0744947229	0791581990
1178	KIERENI DISP	EASTERN	SOUTH MERU	CHUKA	MUGWE	MUGIRIRWA	4	MISS	-0.344086	37.6443	ekierenidisp@healthcare.com	0762178626	0795426243
1179	KIONYO DISP	NYANZA	GUCHA	NYAMACHE	BASSI MASIGE EAST	TURWA	4	MOH	-0.814067	34.7763	nkionyodisp@healthcare.com	0710721662	0784501767
1180	CCS DISP	EASTERN	NORTH MERU	IGEMBE CENTRAL	MAUA	KAIBU	4	MISS	0.240598	37.940797	eccsdisp@healthcare.com	0729939110	0725287769
1181	CHARURU DISP	EASTERN	NORTH MERU	TIGANIA NORTH	MUTHARA	KITHARENE	4	MOH	0.192156	37.825027	echarurudisp@healthcare.com	0782563957	0756776466
1182	MAGENA DISP	NYANZA	GUCHA	KENYENYA	MAJOGE BORABU	KIANGO	4	MOH	-0.90464	34.7966	nmagenadisp@healthcare.com	0739009918	0720172429
1183	BALESA DISP	EASTERN	MARSABIT	NORTH HORR	BALESA RIRIBA	BALESA	4	MOH	3.62	37.32	ebalesadisp@healthcare.com	0708308545	0703621390
1184	MAGENCHE DISP	NYANZA	GUCHA	KENYENYA	MAGENCHE	MAGENCHE	4	MOH	-0.94649	34.72318	nmagenchedisp@healthcare.com	0717203510	0722910709
1185	KIGOGO DISP	EASTERN	SOUTH MERU	CHUKA	GITARENI	KIAMUCII	4	MISS	-0.38	37.7	ekigogodisp@healthcare.com	0767447586	0790752864
1186	KANGETA DISP	EASTERN	NORTH MERU	IGEMBE NORTH	MUKULULU	LIBURU	4	MISS	0.274775	37.88378	ekangetadisp@healthcare.com	0715763125	0772670073
1187	BUBISA DISP	EASTERN	MARSABIT	MAIKONA	BUBISA	BUBISA	4	MOH	2.59	38.11	ebubisadisp@healthcare.com	0734437102	0758341708
1188	MAKARA BAPTIST M. CENTRE	NYANZA	GUCHA	ETAGO	GETENGA	NYARAMBA(GUCHA)	4	MISS	-0.88877	34.65434	nmakarabaptistm.centre@healthcare.com	0787140296	0772025083
1189	KIINI DISP	EASTERN	SOUTH MERU	MUTHAMBI	MITHERU	GATUA	4	MOH	-0.290323	37.6393	ekiinidisp@healthcare.com	0789960271	0723665721
1190	KANGETA H C	EASTERN	NORTH MERU	IGEMBE NORTH	MUKULULU	LIBURU	4	MOH	0.266577	37.8746	ekangetahc@healthcare.com	0790588831	0733750748
1191	DIRIB GOMBO DISP	EASTERN	MARSABIT	GADAMOJI	DIRIB GOMBO	DIRIB GOMBO	4	MISS	2.27459	38.0804	ediribgombodisp@healthcare.com	0759958213	0767929956
1192	METABURO DISP	NYANZA	GUCHA	ETAGO	GETENGA	NYARAMBA(GUCHA)	4	MISS	-0.901017	34.648	nmetaburodisp@healthcare.com	0769922793	0731672133
1193	KIRIANI DISP	EASTERN	SOUTH MERU	MWIMBI	MURUGI	MURUGI(SMERU)	4	MISS	-0.26	37.627	ekirianidisp@healthcare.com	0718517852	0705017987
1194	KANTHIARI DISP	EASTERN	NORTH MERU	IGEMBE CENTRAL	KANTIHIARI	KINYANKA	4	MOH	0.213503	37.910418	ekanthiaridisp@healthcare.com	0732315399	0744446946
1195	DUKANA DISP	EASTERN	MARSABIT	NORTH HORR	DUKANA	DUKANA	4	MOH	3.932321	37.242123	edukanadisp@healthcare.com	0761811350	0738453627
1196	MISESI DISP	NYANZA	GUCHA	OGEMBO	MAJOGE CHACHE	MISESI	4	MOH	-0.74101	34.68447	nmisesidisp@healthcare.com	0751341557	0777128288
1197	KIROO DISP	EASTERN	SOUTH MERU	MWIMBI	MAARA	KIROO	4	MISS	-0.21	37.71	ekiroodisp@healthcare.com	0738106289	0774329144
1198	KIEGOI DISP	EASTERN	NORTH MERU	IGEMBE CENTRAL	KANTIHIARI	GITUUMI	4	MOH	0.23	37.92	ekiegoidisp@healthcare.com	0720514195	0780271773
1199	GAS DISP	EASTERN	MARSABIT	NORTH HORR	GALAS	GALAS	4	MOH	3.22	36.71	egasdisp@healthcare.com	0740617662	0711943465
1200	MONIANKU HEALTH CENTRE	NYANZA	GUCHA	ETAGO	S. MUGIRANGO BORABU	MONIANKU	3	MISS	-0.967	34.6828	nmoniankuhealthcentre@healthcare.com	0752072327	0763046965
1201	KIRUMI DISP	EASTERN	SOUTH MERU	MWIMBI	GANGA	KIRUMI	4	MOH	-0.23964	37.702703	ekirumidisp@healthcare.com	0743170988	0727755639
1202	KIENGU DISP	EASTERN	NORTH MERU	IGEMBE EAST	KIENGU	ANTUBETWE NJOUNE	4	MISS	0.27	37.97	ekiengudisp@healthcare.com	0789297616	0738431720
1203	MOTICHO DISP	NYANZA	GUCHA	ETAGO	GETENGA	NYABERA(GUCHA)	4	MOH	-0.886617	34.6315	nmotichodisp@healthcare.com	0786122772	0782170710
1204	GATAB AIC DISP	EASTERN	MARSABIT	LOIYANGALANI	MT KULAL	MT. KULAL	4	MISS	2.565737	36.951122	egatabaicdisp@healthcare.com	0726529134	0713566908
1205	MAGENKA DISP	EASTERN	SOUTH MERU	MAGUMONI	MUKUUNI	KINORU	4	MISS	-0.41	37.66	emagenkadisp@healthcare.com	0724884503	0750625187
1206	KIMACHIA DISP	EASTERN	NORTH MERU	URINGU	KIMACHIA	NTOMBO	4	MOH	0.097733	37.777405	ekimachiadisp@healthcare.com	0789489142	0785497519
1207	HURI HILLS DISP	EASTERN	MARSABIT	MAIKONA	HURRI HILLS	HURRI HILLS	4	MOH	3.48922	37.8293	ehurihillsdisp@healthcare.com	0704176492	0731228666
1208	NDURU HEALTH CENTRE	NYANZA	GUCHA	NYAMARAMBE	S. MUGIRANGO CENTRAL	BOMONYAMA	3	MOH	-0.80782	34.62814	nnduruhealthcentre@healthcare.com	0757514085	0755906309
1209	MAGUNDU DISPENSARY	EASTERN	SOUTH MERU	MUTHAMBI	MITHERU	KARIMBA	4	MISS	-0.3	37.68	emagundudispensary@healthcare.com	0756567631	0739459776
1210	KINA DISP	EASTERN	NORTH MERU	NDOLELI	KAWIRU	BAIBARIU	4	MOH	0.290141	38.129882	ekinadisp@healthcare.com	0729605531	0792452648
1211	NYACHEKI HEALTH CENTRE	NYANZA	GUCHA	NYACHEKI	BASSI BORABU	ISENA	3	MOH	-0.89071	34.8772	nnyachekihealthcentre@healthcare.com	0778018561	0727534395
1212	ILLAUT DISP	EASTERN	MARSABIT	LAISAMIS	ILLAUT/NGURUNIT	ILLAUT(MARSABIT)	4	MISS	1.927378	37.249495	eillautdisp@healthcare.com	0776488652	0738668823
1213	MAGUTUNI SUB-DISTRICT HOSPITAL	EASTERN	SOUTH MERU	MWIMBI	KIERA	MAGUTUNI	1	MOH	-0.23523	37.751235	emagutunisub-districthospital@healthcare.com	0760433476	0781300473
1214	KITHEO DISP	EASTERN	NORTH MERU	AKITHI	KITHEO	KITHEO(AKITHI)	4	MOH	0.145355	37.815995	ekitheodisp@healthcare.com	0742516977	0779058553
1215	ILLERET SUB HEALTH CENTRE	EASTERN	MARSABIT	NORTH HORR	ILLERET	ILLERET	3	MOH	4.04737	36.4309	eilleretsubhealthcentre@healthcare.com	0761346648	0752917210
1216	NYAKEYO S.D.A DISP	NYANZA	GUCHA	ETAGO	GETENGA	NYATARO	4	MISS	-0.86685	34.64843	nnyakeyos.d.adisp@healthcare.com	0783529592	0766419768
1217	MINUGU DISP	EASTERN	SOUTH MERU	MUTHAMBI	MITHERU	GATUA	4	MISS	-0.3	37.64	eminugudisp@healthcare.com	0733843538	0793010434
1218	KUNATI DISP	EASTERN	NORTH MERU	TIGANIA EAST	THANKATHA	KUNATI	4	MOH	0.085417	37.930123	ekunatidisp@healthcare.com	0751701857	0700120234
1219	KALACHA DISP	EASTERN	MARSABIT	MAIKONA	KALACHA	KALACHA	4	MISS	3.17081	37.4235	ekalachadisp@healthcare.com	0790974810	0794136360
1220	MPUKONI HEALTH CENTRE	EASTERN	SOUTH MERU	MAGUMONI	KABUBONI	KANYAKINI	3	MOH	-0.380376	37.6608	empukonihealthcentre@healthcare.com	0775895855	0738047738
1221	NYAMACHE HEALTH CENTRE	NYANZA	GUCHA	NYAMACHE	BASSI CENTRAL	NYOERA	3	MOH	-0.85352	34.82805	nnyamachehealthcentre@healthcare.com	0723909488	0748720782
1222	KUNENE DISP	EASTERN	NORTH MERU	URINGU	NKOMO	KUNENE	4	MOH	0.13256	37.71242	ekunenedisp@healthcare.com	0778688485	0732505314
1223	MUKUI DISP	EASTERN	SOUTH MERU	MWIMBI	GANGA	MUGUMANGO	4	MOH	-0.257658	37.711171	emukuidisp@healthcare.com	0762847707	0742471081
1224	KARARE DISP	EASTERN	MARSABIT	CENTRAL	KARARE	KARARE	4	MISS	2.22	37.9	ekararedisp@healthcare.com	0719621210	0798008923
